code,region,city,district,fullname,region_code,city_code,district_code
1123076000,서울특별시,동대문구,이문제3동,서울특별시 동대문구 이문제3동,11,11230,1123076000
1126000000,서울특별시,중랑구,NA,서울특별시 중랑구,11,11260,1126000000
1126051000,서울특별시,중랑구,면목제1동,서울특별시 중랑구 면목제1동,11,11260,1126051000
1126052000,서울특별시,중랑구,면목제2동,서울특별시 중랑구 면목제2동,11,11260,1126052000
1126053000,서울특별시,중랑구,면목제3동,서울특별시 중랑구 면목제3동,11,11260,1126053000
1126054000,서울특별시,중랑구,면목제4동,서울특별시 중랑구 면목제4동,11,11260,1126054000
1126055000,서울특별시,중랑구,면목제5동,서울특별시 중랑구 면목제5동,11,11260,1126055000
1126056000,서울특별시,중랑구,면목제6동,서울특별시 중랑구 면목제6동,11,11260,1126056000
1126056500,서울특별시,중랑구,면목본동,서울특별시 중랑구 면목본동,11,11260,1126056500
1126057000,서울특별시,중랑구,면목제7동,서울특별시 중랑구 면목제7동,11,11260,1126057000
1126057100,서울특별시,중랑구,면목제8동,서울특별시 중랑구 면목제8동,11,11260,1126057100
1126057500,서울특별시,중랑구,면목제3.8동,서울특별시 중랑구 면목제3.8동,11,11260,1126057500
1126058000,서울특별시,중랑구,상봉제1동,서울특별시 중랑구 상봉제1동,11,11260,1126058000
1126059000,서울특별시,중랑구,상봉제2동,서울특별시 중랑구 상봉제2동,11,11260,1126059000
1126060000,서울특별시,중랑구,중화제1동,서울특별시 중랑구 중화제1동,11,11260,1126060000
1126061000,서울특별시,중랑구,중화제2동,서울특별시 중랑구 중화제2동,11,11260,1126061000
1126061100,서울특별시,중랑구,중화제3동,서울특별시 중랑구 중화제3동,11,11260,1126061100
1126062000,서울특별시,중랑구,묵제1동,서울특별시 중랑구 묵제1동,11,11260,1126062000
1126063000,서울특별시,중랑구,묵제2동,서울특별시 중랑구 묵제2동,11,11260,1126063000
1126064000,서울특별시,중랑구,망우제1동,서울특별시 중랑구 망우제1동,11,11260,1126064000
1126065000,서울특별시,중랑구,망우제2동,서울특별시 중랑구 망우제2동,11,11260,1126065000
1126065500,서울특별시,중랑구,망우본동,서울특별시 중랑구 망우본동,11,11260,1126065500
1126066000,서울특별시,중랑구,망우제3동,서울특별시 중랑구 망우제3동,11,11260,1126066000
1126067000,서울특별시,중랑구,신내동,서울특별시 중랑구 신내동,11,11260,1126067000
1126068000,서울특별시,중랑구,신내1동,서울특별시 중랑구 신내1동,11,11260,1126068000
1126069000,서울특별시,중랑구,신내2동,서울특별시 중랑구 신내2동,11,11260,1126069000
1129000000,서울특별시,성북구,NA,서울특별시 성북구,11,11290,1129000000
1129051000,서울특별시,성북구,성북제1동,서울특별시 성북구 성북제1동,11,11290,1129051000
1129052000,서울특별시,성북구,성북제2동,서울특별시 성북구 성북제2동,11,11290,1129052000
1129052500,서울특별시,성북구,성북동,서울특별시 성북구 성북동,11,11290,1129052500
1129053000,서울특별시,성북구,동소문동,서울특별시 성북구 동소문동,11,11290,1129053000
1129054000,서울특별시,성북구,삼선제1동,서울특별시 성북구 삼선제1동,11,11290,1129054000
1129055000,서울특별시,성북구,삼선제2동,서울특별시 성북구 삼선제2동,11,11290,1129055000
1129055500,서울특별시,성북구,삼선동,서울특별시 성북구 삼선동,11,11290,1129055500
1129056000,서울특별시,성북구,동선제1동,서울특별시 성북구 동선제1동,11,11290,1129056000
1129057000,서울특별시,성북구,동선제2동,서울특별시 성북구 동선제2동,11,11290,1129057000
1129057500,서울특별시,성북구,동선동,서울특별시 성북구 동선동,11,11290,1129057500
1129058000,서울특별시,성북구,돈암제1동,서울특별시 성북구 돈암제1동,11,11290,1129058000
1129059000,서울특별시,성북구,돈암제2동,서울특별시 성북구 돈암제2동,11,11290,1129059000
1129060000,서울특별시,성북구,안암동,서울특별시 성북구 안암동,11,11290,1129060000
1129061000,서울특별시,성북구,보문동,서울특별시 성북구 보문동,11,11290,1129061000
1129062000,서울특별시,성북구,정릉제1동,서울특별시 성북구 정릉제1동,11,11290,1129062000
1129063000,서울특별시,성북구,정릉제2동,서울특별시 성북구 정릉제2동,11,11290,1129063000
1129064000,서울특별시,성북구,정릉제3동,서울특별시 성북구 정릉제3동,11,11290,1129064000
1129065000,서울특별시,성북구,정릉제4동,서울특별시 성북구 정릉제4동,11,11290,1129065000
1129066000,서울특별시,성북구,길음제1동,서울특별시 성북구 길음제1동,11,11290,1129066000
1129067000,서울특별시,성북구,길음제2동,서울특별시 성북구 길음제2동,11,11290,1129067000
1129068000,서울특별시,성북구,길음제3동,서울특별시 성북구 길음제3동,11,11290,1129068000
1129068500,서울특별시,성북구,길음제2동,서울특별시 성북구 길음제2동,11,11290,1129068500
1129069000,서울특별시,성북구,종암제1동,서울특별시 성북구 종암제1동,11,11290,1129069000
1129070000,서울특별시,성북구,종암제2동,서울특별시 성북구 종암제2동,11,11290,1129070000
1129070500,서울특별시,성북구,종암동,서울특별시 성북구 종암동,11,11290,1129070500
1129071000,서울특별시,성북구,하월곡제1동,서울특별시 성북구 하월곡제1동,11,11290,1129071000
1129071500,서울특별시,성북구,월곡제1동,서울특별시 성북구 월곡제1동,11,11290,1129071500
1129072000,서울특별시,성북구,하월곡제2동,서울특별시 성북구 하월곡제2동,11,11290,1129072000
1129072500,서울특별시,성북구,월곡제2동,서울특별시 성북구 월곡제2동,11,11290,1129072500
1129073000,서울특별시,성북구,하월곡제3동,서울특별시 성북구 하월곡제3동,11,11290,1129073000
1129073500,서울특별시,성북구,월곡제3동,서울특별시 성북구 월곡제3동,11,11290,1129073500
1129074000,서울특별시,성북구,하월곡제4동,서울특별시 성북구 하월곡제4동,11,11290,1129074000
1129074500,서울특별시,성북구,월곡제4동,서울특별시 성북구 월곡제4동,11,11290,1129074500
1129075000,서울특별시,성북구,상월곡동,서울특별시 성북구 상월곡동,11,11290,1129075000
1129076000,서울특별시,성북구,장위제1동,서울특별시 성북구 장위제1동,11,11290,1129076000
1129077000,서울특별시,성북구,장위제2동,서울특별시 성북구 장위제2동,11,11290,1129077000
1129078000,서울특별시,성북구,장위제3동,서울특별시 성북구 장위제3동,11,11290,1129078000
1129079000,서울특별시,성북구,석관제1동,서울특별시 성북구 석관제1동,11,11290,1129079000
1129080000,서울특별시,성북구,석관제2동,서울특별시 성북구 석관제2동,11,11290,1129080000
1129081000,서울특별시,성북구,석관동,서울특별시 성북구 석관동,11,11290,1129081000
1130500000,서울특별시,강북구,NA,서울특별시 강북구,11,11305,1130500000
1130553100,서울특별시,강북구,미아제1동,서울특별시 강북구 미아제1동,11,11305,1130553100
1130553200,서울특별시,강북구,미아제2동,서울특별시 강북구 미아제2동,11,11305,1130553200
1130553300,서울특별시,강북구,미아제3동,서울특별시 강북구 미아제3동,11,11305,1130553300
1130553400,서울특별시,강북구,삼양동,서울특별시 강북구 삼양동,11,11305,1130553400
